entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
Loc,RoofDeckAttachment,Code that represents the connections used to secure the roof deck to the underlying roof support system,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofEquipment,captures if mechanical or electric equipment is braced on the roof and the impact this modifier will have on the losses.,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofFrame,Roof framing material,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofGeometry,Code that represents the shape of the roof,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofMaintenance,Captures the impact roof maintenance has on the losses,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofPitch,Code that represents the slope of the roof,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofYearBuilt,Year the roof was last replaced (4 digit year),O,smallint,YES,0,1.0,LocationDetails,
Loc,SalvageProtection,The salvage potential of a particular product,O,tinyint,YES,0,1.0,LocationDetails,
Loc,ServiceEquipmentProtection,Code that indicates whether the service equipment is protected from flood,O,tinyint,YES,0,1.0,LocationDetails,
Loc,ShapeIrregularity,"Identifies vertical irregularities, overhangs and setbacks in the building design",O,tinyint,YES,0,1.0,LocationDetails,
Loc,ShortColumn,Code that indicates if there are short columns in the building,O,tinyint,YES,0,1.0,LocationDetails,
Loc,SmallDebris,Code that identifies whether small debris are present within 200 meters of the structure,O,tinyint,YES,0,1.0,LocationDetails,
Loc,SoftStory,Code that indicates if there is structural weakness at any floor.  First floor garages and taller first floors are likely to exhibit soft-story behaviour.,O,tinyint,YES,0,1.0,LocationDetails,
Loc,SpecialEQConstruction,Presence of a seismic base isolation system,O,tinyint,YES,0,1.0,LocationDetails,
Loc,SprinklerType,Sprinkler type,O,tinyint,YES,0,1.0,LocationDetails,
Loc,StreetAddress,Street address including house number ,O,nvarchar(100),YES,,,Locations,
Loc,SurgeLeakage,Storm leakage percentage (0% to 100%) for Wind only policies,O,float,YES,-999,1.0,LocationDetails,
Loc,TallOneStory,"The height of the taller than usual one-story building (e.g. gymnasium, auditorium, church, etc.)",O,tinyint,YES,0,1.0,LocationDetails,
Loc,Tank,Code that indicates if there are rooftop tanks on the adjoining higher buildings,O,tinyint,YES,0,1.0,LocationDetails,
Loc,TerrainRoughness,Terrain conditions around the building.,O,tinyint,YES,0,1.0,LocationDetails,
Loc,Torsion,Code that represents the layout of structural elements that can lead to torsional loads,O,tinyint,YES,0,1.0,LocationDetails,
Loc,TreeExposure,Secondary modifier coding density of trees adjacent to structure,O,tinyint,YES,0,1.0,LocationDetails,
Loc,ValuablesStorage,Where the specie element is stored,O,tinyint,YES,0,1.0,LocationDetails,
Loc,WallAttachedStructure," 
Code that represents a structure that is physically attached to the building, such as garage or balcony",O,tinyint,YES,0,1.0,LocationDetails,
Loc,WindowProtection,Code that represents the wind protection systems used on the windows,O,tinyint,YES,0,1.0,LocationDetails,
Loc,YearBuilt,Year built (4 digit year),O,smallint,YES,0,,Locations,
Loc,YearUpgraded,Year the building was upgraded (4 digit year),O,smallint,YES,0,1.0,LocationDetails,
